Id,Final_Scores
497081,"{'water': 5.1477, 'would': 4.1215, 'good': 3.0922}"
464078,"{'excellent': 3.1026, 'order': 2.0742, 'price': 2.0739, 'ship': 2.0737, 'receive': 2.0736, 'wrap': 2.0714, 'would': 2.067, 'good': 2.0632, 'taste': 1.0469, 'product': 1.0427, 'make': 1.0403}"
152685,"{'food': 14.3821, 'recall': 9.2455, 'cat': 9.2454, 'pet': 7.1897, 'taste': 6.1732, 'wild': 6.1618}"
178909,"{'one': 2.0866, 'liquid': 2.0866, 'use': 2.0861}"
405819,"{'favorite': 2.083, 'would': 1.0697}"
273761,"{'tofu': 4.1354, 'silken': 2.0686, 'every': 2.0668, 'product': 2.0638, 'taste': 1.0446, 'time': 1.0381, 'great': 1.037}"
11149,"{'try': 2.0872, 'everyone': 2.0825, 'free': 2.0812, 'gluten': 2.081}"
385364,"{'butter': 2.0849, 'eat': 2.0842, 'favorite': 2.0812}"
441503,"{'chai': 2.1072, 'really': 2.0752, 'tea': 1.0562}"
229603,"{'tea': 4.117, 'would': 4.1158, 'bag': 4.1134, 'even': 3.0877, 'price': 3.0873}"
319580,"{'jar': 2.0827, 'powder': 2.0827}"
424905,"{'think': 3.1006, 'dish': 3.0989}"
322611,"{'use': 2.1076, 'food': 2.1068, 'exceptional': 2.0743}"
13604,{'tea': 2.1212}
242401,"{'found': 2.0735, 'like': 1.0641}"
236296,"{'tea': 8.2434, 'mint': 4.1195, 'flavor': 3.0927}"
16156,"{'wife': 2.0927, 'good': 1.0841, 'get': 1.0828}"
407264,"{'product': 4.135, 'clear': 4.1329}"
522486,"{'high': 3.103, 'fat': 3.1004}"
98143,{'one': 2.0982}
528581,"{'egg': 4.1317, 'great': 2.0704, 'love': 2.0703, 'fish': 2.0686}"
482516,"{'cereal': 5.1475, 'slice': 4.1175, 'get': 3.0912, 'formulation': 3.085}"
504038,"{'pantry': 2.1159, 'food': 2.1127}"
392322,"{'hard': 2.115, 'bean': 2.1132}"
188712,"{'order': 2.0861, 'week': 2.0859, 'expect': 2.0668, 'make': 1.0485}"
174866,"{'dry': 3.1301, 'nutrition': 2.0903}"
187481,"{'pill': 16.4056, 'dog': 12.3052}"
444545,"{'warehouse': 2.0902, 'deal': 2.0761, 'love': 2.0709, 'product': 1.0568, 'get': 1.052}"
447457,"{'dog': 4.1144, 'like': 3.1009, 'say': 2.0625, 'happy': 2.0622}"
88292,"{'coffee': 8.2852, 'taste': 3.1246, 'kopi': 2.075, 'like': 1.0486}"
75317,"{'pound': 2.1166, 'get': 2.0794, 'amazon': 1.063, 'manitoba': 1.0609, 'harvest': 1.0603}"
249821,{'almond': 2.0887}
241383,"{'watkins': 3.1121, 'product': 1.0544}"
67327,{'taste': 3.1291}
275721,"{'look': 2.1039, 'family': 1.0967, 'maple': 1.0965, 'right': 1.096}"
272873,"{'cooky': 2.1446, 'famous': 2.0897, 'chocolate': 1.0794, 'price': 1.0791}"
42275,"{'cook': 2.1129, 'taste': 2.0847, 'diet': 1.0591}"
563889,{'try': 2.0871}
297778,"{'caramel': 2.0762, 'time': 1.0618, 'great': 1.0617, 'anyone': 1.061, 'mouth': 1.061}"
532677,{'love': 2.0787}
298773,"{'sister': 3.1586, 'fiber': 1.0854}"
365390,{'work': 2.1364}
538207,"{'tea': 5.1626, 'chai': 4.1285, 'like': 2.0755, 'good': 2.0698, 'time': 2.0694}"
238623,"{'nut': 3.1179, 'granola': 3.1062, 'every': 2.0798}"
476037,"{'buy': 2.081, 'organic': 2.0795, 'usually': 2.062}"
25941,{'cracker': 2.0976}
156913,"{'bag': 4.1398, 'love': 2.0711, 'slightly': 2.0687, 'em': 2.0604, 'first': 2.0595}"
27570,{'tea': 3.1217}
311677,"{'bread': 8.2412, 'gluten': 5.1486, 'one': 4.1229, 'free': 4.1193}"
154789,"{'would': 2.0905, 'huge': 2.0653}"
167258,"{'sb': 2.1032, 'one': 2.1021}"
324752,"{'bag': 4.1365, 'like': 3.1121, 'ounce': 3.1014}"
334641,"{'filter': 3.1077, 'good': 2.0775, 'purchase': 2.0745, 'price': 2.0735}"
29432,"{'get': 2.0979, 'great': 2.081}"
385514,"{'treat': 2.0968, 'trainer': 2.0786}"
374230,{'lb': 2.0846}
563919,"{'price': 2.144, 'get': 2.0969, 'box': 1.0863, 'deal': 1.0847, 'worth': 1.0844}"
119759,"{'big': 2.1794, 'cute': 2.106}"
190252,{'candy': 2.1334}
487454,"{'flavor': 4.1355, 'really': 3.1016, 'like': 2.0771, 'orange': 2.0681, 'black': 2.0671, 'cherry': 2.0669}"
482753,"{'give': 3.1112, 'breath': 3.1019, 'dog': 3.0978, 'year': 2.0759}"
188339,"{'coffee': 4.1387, 'dark': 4.1359}"
43836,"{'tea': 2.1011, 'pg': 2.0923}"
475040,"{'biscuit': 3.1221, 'small': 2.0795, 'substantial': 2.0711, 'wonderful': 2.0625, 'bit': 1.044, 'yummy': 1.0429}"
206591,"{'molasses': 4.1354, 'golden': 4.1219, 'barrel': 3.0908, 'add': 2.0718}"
17269,{'creamer': 3.1325}
548003,"{'end': 3.0949, 'hair': 3.0944, 'product': 2.0701}"
347930,"{'less': 2.1125, 'product': 2.1096, 'discontinue': 2.1073, 'anytime': 2.0766}"
254063,"{'good': 2.1114, 'able': 2.0742}"
21802,"{'bottle': 3.1043, 'kibble': 3.0982}"
131195,"{'like': 2.1066, 'perfect': 2.0695, 'taste': 1.059}"
261081,"{'excellent': 2.0784, 'taste': 1.071}"
527933,"{'though': 2.1088, 'love': 2.0763}"
107771,"{'snicker': 3.11, 'peanut': 3.1099}"
515328,"{'absolutely': 2.0887, 'get': 1.0795}"
481718,"{'find': 2.0664, 'make': 2.0661}"
33381,"{'soft': 4.1516, 'quaker': 3.0995}"
31850,"{'gift': 1.0608, 'disappointed': 1.039}"
10935,"{'tea': 3.1549, 'make': 2.0923, 'excellent': 2.0743, 'product': 1.0638}"
231269,{'love': 2.0758}
342360,"{'say': 2.098, 'would': 2.0948, 'otherwise': 2.0939, 'another': 2.0682}"
101890,"{'spread': 2.1101, 'try': 2.0788}"
48649,"{'banana': 4.1928, 'flavor': 1.0649}"
161814,"{'one': 3.0919, 'hour': 3.0904, 'start': 3.09}"
303536,"{'add': 2.1038, 'coffee': 2.0856}"
222469,"{'sink': 6.1613, 'mio': 4.1079, 'blue': 4.1071, 'stain': 4.107}"
494069,"{'use': 2.0911, 'year': 1.0777}"
106486,"{'tea': 2.0729, 'taste': 1.0618}"
45701,"{'strong': 2.0877, 'overall': 2.0652, 'taste': 1.054, 'product': 1.0501, 'flavor': 1.0468}"
203871,"{'chicken': 4.1247, 'water': 4.1235}"
449548,"{'cat': 4.1696, 'hairball': 2.1012}"
330298,"{'strawberry': 3.1391, 'add': 2.098, 'freeze': 2.0679}"
147918,"{'use': 3.1214, 'like': 2.0857}"
39574,{'custard': 2.0771}
3196,"{'clam': 9.2026, 'buy': 3.0772, 'poop': 3.076, 'get': 2.0533}"
205687,"{'cinnamon': 4.1216, 'sweet': 4.1214}"
