Id,Similar_Nouns
6941,"[('drink', 0.5052557168775925), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('sugar', 0.4343532561056769), ('sugar', 0.4343532561056769), ('corn', 0.4219047297000621), ('drink', 0.5052557168775925), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('drinker', 0.5052557168775925), ('beverage', 0.6060569715231393), ('drink', 0.5052557168775925), ('water', 0.43853471357412066), ('milk', 0.5008447678701654), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('tasting', 0.5185897814014395), ('beverage', 0.6060569715231393), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('drink', 0.5052557168775925), ('flavor', 0.4170213068048639), ('beverage', 0.6060569715231393)]"
39468,"[('taste', 0.44171644906200236), ('milk', 0.5008447678701654), ('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639)]"
72258,"[('beets', 0.4368477325614745), ('taste', 0.44171644906200236)]"
221798,"[('snack', 0.5345618016662753)]"
17121,"[('biscuit', 0.4511579317757192)]"
5800,"[('eat', 0.436267431730103)]"
262911,"[('ingredient', 0.4985767690850275)]"
349187,"[('kitchen', 0.4193886364635085), ('sugar', 0.4343532561056769), ('sugar', 0.4343532561056769), ('taste', 0.44171644906200236)]"
380680,"[('food', 1.0)]"
118335,[]
18232,[]
177307,"[('restaurant', 0.5310369754597499), ('meal', 0.5870303326567043), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('restaurant', 0.5310369754597499)]"
256464,"[('water', 0.43853471357412066), ('consume', 0.5502905044743368), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236)]"
7032,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('recycle', 0.4237656282680526)]"
157271,[]
112249,"[('pasta', 0.47385021044293485), ('rice', 0.502908458255061), ('pasta', 0.47385021044293485)]"
196318,"[('fruit', 0.49901902789989183), ('taste', 0.44171644906200236)]"
375841,[]
467827,"[('packaging', 0.4989211717768639), ('taste', 0.44171644906200236), ('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236)]"
96750,"[('coffee', 0.5149293216837122)]"
554919,"[('goodness', 0.40731084907232445), ('corn', 0.4219047297000621), ('coffee', 0.5149293216837122), ('milk', 0.5008447678701654), ('milk', 0.5008447678701654)]"
432737,"[('salmon', 0.41278973843217426)]"
205788,"[('food', 1.0), ('cereal', 0.5373505749073971), ('sugar', 0.4343532561056769), ('eat', 0.436267431730103), ('cereal', 0.5373505749073971)]"
434511,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('consumer', 0.46547348498269914), ('consumer', 0.46547348498269914)]"
177817,[]
170320,[]
181593,"[('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122)]"
342648,"[('food', 1.0), ('ramen', 0.43145416577123996), ('tofu', 0.42998315750168686), ('tasty', 0.4626621565316741), ('cooking', 0.598677269246535), ('water', 0.43853471357412066)]"
80486,"[('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('drink', 0.5052557168775925), ('drink', 0.5052557168775925), ('food', 1.0), ('cuisine', 0.47783982023391536)]"
452143,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('drink', 0.5052557168775925), ('coffee', 0.5149293216837122), ('goodness', 0.40731084907232445)]"
154205,"[('salty', 0.4085016823614135), ('pantry', 0.44294280308466694)]"
77267,"[('food', 1.0), ('food', 1.0), ('eat', 0.436267431730103), ('food', 1.0), ('delivery', 0.4237622013034228)]"
164947,"[('flavor', 0.4170213068048639), ('fruit', 0.49901902789989183), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('fruit', 0.49901902789989183), ('convenient', 0.40386208119335143), ('flavor', 0.4170213068048639)]"
471993,"[('corn', 0.4219047297000621), ('food', 1.0), ('corn', 0.4219047297000621), ('food', 1.0), ('food', 1.0)]"
363150,[]
562062,"[('tasting', 0.5185897814014395)]"
95466,"[('taste', 0.44171644906200236), ('eat', 0.436267431730103), ('taste', 0.44171644906200236), ('tasteless', 0.44171644906200236), ('water', 0.43853471357412066), ('dish', 0.43078554450547313), ('meal', 0.5870303326567043)]"
115379,"[('delivery', 0.4237622013034228)]"
339826,[]
410690,"[('eat', 0.436267431730103), ('food', 1.0), ('eat', 0.436267431730103), ('eat', 0.436267431730103), ('food', 1.0)]"
30155,"[('allergy', 0.4065883923674866), ('meal', 0.5870303326567043), ('eat', 0.436267431730103), ('wheat', 0.43992532926219513), ('bread', 0.5305724757722691), ('pizza', 0.46639817930773697)]"
394320,"[('taste', 0.44171644906200236)]"
126430,"[('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('pasta', 0.47385021044293485), ('potato', 0.4062895082774807), ('bread', 0.5305724757722691), ('flavor', 0.4170213068048639)]"
56832,"[('flavor', 0.4170213068048639), ('fruit', 0.49901902789989183), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639)]"
181528,"[('taste', 0.44171644906200236), ('drinker', 0.5052557168775925)]"
218220,"[('sugar', 0.4343532561056769), ('sugar', 0.4343532561056769)]"
195093,[]
86019,"[('salty', 0.4085016823614135)]"
230982,"[('honey', 0.41577682287953666), ('sugar', 0.4343532561056769), ('beef', 0.4531297604587793)]"
30460,"[('bread', 0.5305724757722691), ('homemade', 0.4867001544228036), ('pizza', 0.46639817930773697), ('aftertaste', 0.44171644906200236)]"
61508,"[('taste', 0.44171644906200236), ('ingredient', 0.4985767690850275)]"
318384,"[('freezer', 0.42792339091126147), ('meal', 0.5870303326567043)]"
190845,"[('taste', 0.44171644906200236), ('coconut', 0.4120167342395654), ('water', 0.43853471357412066), ('nutrient', 0.5542617823247532), ('water', 0.43853471357412066), ('superfoods', 0.8038245892988116), ('superfoods', 0.8038245892988116), ('water', 0.43853471357412066)]"
241002,"[('food', 1.0), ('taste', 0.44171644906200236)]"
274614,[]
317812,"[('taste', 0.44171644906200236), ('sugar', 0.4343532561056769), ('drink', 0.5052557168775925), ('aftertaste', 0.44171644906200236), ('taste', 0.44171644906200236), ('sugar', 0.4343532561056769)]"
559015,[]
516792,"[('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236), ('tasteless', 0.44171644906200236), ('grocery', 0.5580467641635928), ('food', 1.0)]"
98952,[]
475357,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
285902,"[('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('food', 1.0), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('drinking', 0.5216742755304747)]"
331607,"[('chocolate', 0.4372298686781058), ('sugar', 0.4343532561056769), ('flavor', 0.4170213068048639), ('sugar', 0.4343532561056769), ('food', 1.0), ('sugar', 0.4343532561056769), ('chocolate', 0.4372298686781058), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236)]"
415748,"[('breakfast', 0.5167373461515301), ('yogurt', 0.46615437499021933), ('eat', 0.436267431730103), ('breakfast', 0.5167373461515301), ('breakfast', 0.5167373461515301), ('yogurt', 0.46615437499021933)]"
322484,"[('flavor', 0.4170213068048639)]"
418976,"[('tasty', 0.4626621565316741)]"
230132,"[('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639)]"
524128,"[('taste', 0.44171644906200236), ('snack', 0.5345618016662753), ('ingredient', 0.4985767690850275), ('sugar', 0.4343532561056769), ('corn', 0.4219047297000621), ('whey', 0.46615437499021933), ('taste', 0.44171644906200236), ('ingredient', 0.4985767690850275), ('sugar', 0.4343532561056769), ('cereal', 0.5373505749073971), ('snack', 0.5345618016662753), ('sugar', 0.4343532561056769), ('eat', 0.436267431730103), ('corn', 0.4219047297000621), ('sugar', 0.4343532561056769), ('corn', 0.4219047297000621), ('sugar', 0.4343532561056769)]"
554187,"[('taste', 0.44171644906200236)]"
518482,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
477190,"[('delivery', 0.4237622013034228)]"
244724,"[('flavor', 0.4170213068048639), ('chicken', 0.471460544905692), ('grocery', 0.5580467641635928)]"
231964,[]
249640,"[('watermelon', 0.5110850610929822), ('watermelon', 0.5110850610929822), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('watermelon', 0.5110850610929822), ('aftertaste', 0.44171644906200236)]"
258485,"[('wheat', 0.43992532926219513), ('wheat', 0.43992532926219513)]"
408616,[]
220251,"[('food', 1.0), ('meal', 0.5870303326567043), ('hearty', 0.5739990305090508), ('snack', 0.5345618016662753), ('protein', 0.41133759745673865)]"
125530,"[('honey', 0.41577682287953666)]"
362427,"[('dessert', 0.45647155656052174)]"
269384,"[('eating', 0.5599008365858769)]"
306747,[]
346528,"[('tasting', 0.5185897814014395), ('breakfast', 0.5167373461515301)]"
40461,"[('food', 1.0), ('supplement', 0.4139385121322003), ('feed', 0.4447960733032097), ('food', 1.0), ('feed', 0.4447960733032097), ('organic', 0.5114575255251773)]"
264640,[]
431962,[]
138898,[]
382654,"[('bread', 0.5305724757722691), ('packaging', 0.4989211717768639), ('bread', 0.5305724757722691), ('bread', 0.5305724757722691), ('grain', 0.4782220650935332), ('wheat', 0.43992532926219513), ('ingredient', 0.4985767690850275), ('wheat', 0.43992532926219513), ('wheat', 0.43992532926219513), ('bread', 0.5305724757722691), ('wheat', 0.43992532926219513), ('grain', 0.4782220650935332), ('bread', 0.5305724757722691), ('wheat', 0.43992532926219513), ('wheat', 0.43992532926219513), ('grain', 0.4782220650935332), ('bread', 0.5305724757722691)]"
73619,"[('grocer', 0.5580467641635928), ('chocolate', 0.4372298686781058), ('flavor', 0.4170213068048639)]"
240825,"[('supplement', 0.4139385121322003), ('snack', 0.5345618016662753)]"
367840,"[('coconut', 0.4120167342395654)]"
220083,[]
427648,[]
21123,[]
89427,"[('eat', 0.436267431730103), ('fruit', 0.49901902789989183), ('water', 0.43853471357412066), ('corn', 0.4219047297000621), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('drink', 0.5052557168775925)]"
146203,"[('drinker', 0.5052557168775925), ('coffee', 0.5149293216837122), ('drinking', 0.5216742755304747), ('coffee', 0.5149293216837122), ('breakfast', 0.5167373461515301), ('coffee', 0.5149293216837122), ('breakfast', 0.5167373461515301), ('coffee', 0.5149293216837122), ('drink', 0.5052557168775925), ('drink', 0.5052557168775925), ('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('drinker', 0.5052557168775925), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
97248,"[('food', 1.0), ('flavor', 0.4170213068048639)]"
358484,"[('ingredient', 0.4985767690850275), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236)]"
83513,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122)]"
453839,"[('rice', 0.502908458255061), ('gluten', 0.45687250262567375), ('ingredient', 0.4985767690850275), ('rice', 0.502908458255061), ('rice', 0.502908458255061), ('milk', 0.5008447678701654), ('milk', 0.5008447678701654), ('rice', 0.502908458255061)]"
293424,"[('gluten', 0.45687250262567375), ('flavor', 0.4170213068048639)]"
43075,"[('sausage', 0.41268477439701684), ('sausage', 0.41268477439701684), ('eat', 0.436267431730103), ('sausage', 0.41268477439701684), ('rice', 0.502908458255061), ('rice', 0.502908458255061)]"
85750,"[('eat', 0.436267431730103), ('food', 1.0), ('food', 1.0), ('food', 1.0), ('eat', 0.436267431730103), ('ingredient', 0.4985767690850275), ('grocery', 0.5580467641635928), ('food', 1.0), ('food', 1.0), ('food', 1.0), ('food', 1.0), ('ingredient', 0.4985767690850275)]"
136730,"[('eat', 0.436267431730103), ('food', 1.0)]"
256880,"[('food', 1.0), ('grocery', 0.5580467641635928), ('water', 0.43853471357412066)]"
435019,"[('fruit', 0.49901902789989183), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236)]"
528762,"[('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('sugar', 0.4343532561056769), ('protein', 0.41133759745673865)]"
185091,"[('eat', 0.436267431730103), ('sandwich', 0.43480637258634464), ('rye', 0.43992532926219513), ('bread', 0.5305724757722691)]"
119299,"[('yeast', 0.4135191758273359), ('supermarket', 0.5611237098551336), ('bread', 0.5305724757722691), ('yeast', 0.4135191758273359), ('yeast', 0.4135191758273359), ('flavor', 0.4170213068048639), ('yeast', 0.4135191758273359)]"
375496,"[('supply', 0.4934081082373573), ('flavor', 0.4170213068048639)]"
567583,"[('taste', 0.44171644906200236)]"
40674,"[('sugar', 0.4343532561056769), ('snack', 0.5345618016662753)]"
506756,"[('taste', 0.44171644906200236), ('corn', 0.4219047297000621), ('ingredient', 0.4985767690850275), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('ingredient', 0.4985767690850275)]"
44694,"[('chocolate', 0.4372298686781058), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('eat', 0.436267431730103), ('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058)]"
133110,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('milk', 0.5008447678701654), ('sugar', 0.4343532561056769), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122), ('milk', 0.5008447678701654), ('sugar', 0.4343532561056769), ('coffee', 0.5149293216837122)]"
371213,"[('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236)]"
462607,"[('grocery', 0.5580467641635928), ('regurgitate', 0.5502905044743368)]"
454332,[]
331709,"[('drinking', 0.5216742755304747), ('packaging', 0.4989211717768639)]"
360482,"[('flavor', 0.4170213068048639)]"
360409,"[('drink', 0.5052557168775925), ('taste', 0.44171644906200236), ('drink', 0.5052557168775925), ('drink', 0.5052557168775925)]"
387334,"[('flavor', 0.4170213068048639)]"
170378,"[('taste', 0.44171644906200236), ('taste', 0.44171644906200236)]"
489552,"[('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122)]"
358346,[]
84868,[]
4314,"[('restaurant', 0.5310369754597499), ('ingredient', 0.4985767690850275), ('pantry', 0.44294280308466694), ('food', 1.0), ('grocer', 0.5580467641635928), ('rice', 0.502908458255061), ('sugar', 0.4343532561056769), ('buckwheat', 0.43992532926219513)]"
519312,"[('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058), ('coffee', 0.5149293216837122)]"
557970,"[('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236)]"
252856,[]
136345,"[('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639)]"
406328,"[('drink', 0.5052557168775925), ('beverage', 0.6060569715231393), ('potato', 0.4062895082774807), ('potato', 0.4062895082774807), ('flavor', 0.4170213068048639), ('potato', 0.4062895082774807), ('soup', 0.46200803866372436), ('chowder', 0.46200803866372436), ('flavor', 0.4170213068048639), ('food', 1.0), ('meat', 0.6200302489571704), ('soup', 0.46200803866372436), ('food', 1.0), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('food', 1.0), ('flavor', 0.4170213068048639)]"
133838,"[('taste', 0.44171644906200236), ('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236), ('chocolate', 0.4372298686781058), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122)]"
344805,"[('coco', 0.4120167342395654), ('fruit', 0.49901902789989183), ('fruit', 0.49901902789989183), ('fruit', 0.49901902789989183), ('fruit', 0.49901902789989183), ('ingredient', 0.4985767690850275), ('sugar', 0.4343532561056769), ('coffee', 0.5149293216837122)]"
36339,"[('flavoring', 0.4079402836142445), ('starch', 0.5176609821257074), ('tofu', 0.42998315750168686)]"
263126,[]
154751,"[('water', 0.43853471357412066), ('fruit', 0.49901902789989183), ('flavor', 0.4170213068048639), ('grocery', 0.5580467641635928)]"
2255,[]
1280,"[('snack', 0.5345618016662753), ('biscotti', 0.4511579317757192), ('snack', 0.5345618016662753), ('food', 1.0), ('feed', 0.4447960733032097), ('filler', 0.40160676505033166)]"
429608,"[('food', 1.0), ('food', 1.0)]"
525911,"[('chocolate', 0.4372298686781058), ('milk', 0.5008447678701654), ('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236), ('chocolate', 0.4372298686781058)]"
381102,"[('chocolate', 0.4372298686781058)]"
518707,"[('food', 1.0), ('meat', 0.6200302489571704), ('ingredient', 0.4985767690850275), ('filler', 0.40160676505033166), ('food', 1.0), ('food', 1.0)]"
237527,"[('food', 1.0), ('allergy', 0.4065883923674866), ('food', 1.0), ('food', 1.0), ('food', 1.0), ('grain', 0.4782220650935332), ('meal', 0.5870303326567043)]"
468664,[]
225711,"[('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('milk', 0.5008447678701654), ('coffee', 0.5149293216837122), ('drinker', 0.5052557168775925)]"
75839,"[('drink', 0.5052557168775925), ('convenience', 0.47771072027918754)]"
294234,"[('milk', 0.5008447678701654), ('snack', 0.5345618016662753), ('taste', 0.44171644906200236)]"
237769,"[('sugar', 0.4343532561056769), ('sugar', 0.4343532561056769)]"
153719,"[('fishy', 0.4999586212964648), ('kitchen', 0.4193886364635085), ('eat', 0.436267431730103), ('rice', 0.502908458255061), ('bread', 0.5305724757722691)]"
183182,"[('digest', 0.45221649030521865), ('cleaning', 0.4033044283705702)]"
166067,[]
26431,"[('taste', 0.44171644906200236)]"
563259,[]
290750,"[('water', 0.43853471357412066), ('water', 0.43853471357412066), ('water', 0.43853471357412066), ('digestion', 0.43307666813783247), ('water', 0.43853471357412066)]"
330160,"[('taste', 0.44171644906200236), ('breakfast', 0.5167373461515301), ('coconut', 0.4120167342395654), ('fruit', 0.49901902789989183)]"
225475,[]
240946,"[('taste', 0.44171644906200236)]"
289026,"[('eat', 0.436267431730103), ('protein', 0.41133759745673865)]"
103163,"[('taste', 0.44171644906200236), ('sugar', 0.4343532561056769), ('taste', 0.44171644906200236)]"
70969,[]
152104,[]
311071,"[('beef', 0.4531297604587793)]"
430102,[]
59128,"[('taste', 0.44171644906200236)]"
306091,"[('vegetable', 0.6331363471037088), ('spinach', 0.40470262939382706), ('taste', 0.44171644906200236), ('snack', 0.5345618016662753)]"
91611,"[('drinker', 0.5052557168775925), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122), ('drink', 0.5052557168775925), ('coffee', 0.5149293216837122), ('drink', 0.5052557168775925), ('sugar', 0.4343532561056769), ('taste', 0.44171644906200236), ('honey', 0.41577682287953666), ('ginseng', 0.41959302125132175), ('ginseng', 0.41959302125132175), ('taste', 0.44171644906200236), ('drink', 0.5052557168775925), ('drinker', 0.5052557168775925), ('drinker', 0.5052557168775925), ('drinker', 0.5052557168775925)]"
345591,"[('eat', 0.436267431730103)]"
71841,[]
292154,"[('honey', 0.41577682287953666), ('honey', 0.41577682287953666)]"
12041,"[('sausage', 0.41268477439701684), ('taste', 0.44171644906200236)]"
340497,"[('tast', 0.4626621565316741), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
441612,"[('cheddar', 0.41129490117464185)]"
263608,[]
311103,"[('eat', 0.436267431730103), ('carbohydrate', 0.5176609821257074), ('snack', 0.5345618016662753), ('sugar', 0.4343532561056769), ('meat', 0.6200302489571704)]"
522091,"[('vegan', 0.46302145658113236)]"
426939,"[('sugar', 0.4343532561056769), ('taste', 0.44171644906200236), ('grain', 0.4782220650935332)]"
338686,[]
71374,[]
433825,"[('eat', 0.436267431730103)]"
467904,[]
526463,"[('eat', 0.436267431730103)]"
99598,"[('snack', 0.5345618016662753), ('eat', 0.436267431730103)]"
151370,"[('taste', 0.44171644906200236)]"
478245,"[('soup', 0.46200803866372436), ('flavor', 0.4170213068048639), ('tomato', 0.401778853271251), ('soup', 0.46200803866372436), ('healthier', 0.5005468000610661), ('grocery', 0.5580467641635928)]"
289910,"[('chicken', 0.471460544905692), ('rice', 0.502908458255061), ('flavor', 0.4170213068048639), ('starch', 0.5176609821257074), ('potato', 0.4062895082774807)]"
45877,"[('flavor', 0.4170213068048639)]"
339363,"[('sugar', 0.4343532561056769), ('drink', 0.5052557168775925), ('grocery', 0.5580467641635928), ('drinking', 0.5216742755304747), ('taste', 0.44171644906200236), ('packaging', 0.4989211717768639)]"
137527,"[('delivery', 0.4237622013034228), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236)]"
463912,"[('taste', 0.44171644906200236), ('drink', 0.5052557168775925)]"
400419,"[('coffee', 0.5149293216837122)]"
543265,"[('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122)]"
41484,[]
28967,"[('gluten', 0.45687250262567375), ('eat', 0.436267431730103), ('bread', 0.5305724757722691), ('taste', 0.44171644906200236)]"
112863,"[('oatmeal', 0.46615437499021933)]"
205161,"[('grocery', 0.5580467641635928), ('grocery', 0.5580467641635928), ('grocery', 0.5580467641635928), ('grocery', 0.5580467641635928), ('grocery', 0.5580467641635928)]"
129224,"[('chicken', 0.471460544905692), ('eat', 0.436267431730103), ('taste', 0.44171644906200236)]"
498981,"[('taste', 0.44171644906200236)]"
171739,"[('cereal', 0.5373505749073971), ('wheat', 0.43992532926219513)]"
185856,"[('feed', 0.4447960733032097)]"
170883,[]
563875,"[('taste', 0.44171644906200236), ('eat', 0.436267431730103), ('chocolate', 0.4372298686781058), ('chocolate', 0.4372298686781058), ('meal', 0.5870303326567043)]"
95005,"[('taste', 0.44171644906200236), ('drink', 0.5052557168775925)]"
22016,[]
239790,"[('wheat', 0.43992532926219513), ('taste', 0.44171644906200236), ('gluten', 0.45687250262567375)]"
401138,"[('cornbread', 0.5305724757722691)]"
281591,[]
34414,"[('biscuit', 0.4511579317757192)]"
314930,[]
96508,[]
13089,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
228560,"[('coffee', 0.5149293216837122)]"
50872,"[('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122)]"
34539,"[('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236)]"
254658,"[('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122)]"
408969,[]
60929,[]
213387,"[('food', 1.0), ('food', 1.0)]"
399967,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('drink', 0.5052557168775925), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122)]"
253379,"[('taco', 0.4319428867481376), ('jalapeno', 0.46130546145835344), ('food', 1.0), ('taco', 0.4319428867481376), ('food', 1.0), ('taco', 0.4319428867481376), ('meat', 0.6200302489571704), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('spinach', 0.40470262939382706), ('food', 1.0)]"
110700,"[('coffee', 0.5149293216837122), ('convenient', 0.40386208119335143), ('flavor', 0.4170213068048639)]"
45477,"[('gluten', 0.45687250262567375), ('flavor', 0.4170213068048639), ('bread', 0.5305724757722691), ('baking', 0.42550906083744133)]"
154991,"[('food', 1.0), ('eat', 0.436267431730103), ('eat', 0.436267431730103)]"
533133,"[('flavor', 0.4170213068048639), ('drink', 0.5052557168775925)]"
419851,"[('food', 1.0), ('food', 1.0)]"
30240,"[('bread', 0.5305724757722691), ('bread', 0.5305724757722691), ('pantry', 0.44294280308466694)]"
462878,"[('omelet', 0.43480637258634464), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639), ('omelet', 0.43480637258634464)]"
133333,"[('coffee', 0.5149293216837122), ('drinker', 0.5052557168775925), ('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('flavor', 0.4170213068048639), ('taste', 0.44171644906200236), ('taste', 0.44171644906200236), ('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122), ('flavor', 0.4170213068048639)]"
563302,"[('taste', 0.44171644906200236), ('molasses', 0.5087241706776993)]"
